RAUMID;Bezirk;Prognoseraum;Bezirksregion;Planungsraum;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
01011101;Mitte;Zentrum;Tiergarten Süd;Stülerstr.;3412;3386;3297;3238;3273;3302;3300;3140;2930;2672;2765;2930;3060;3114;3090;3114;3225;3384
01011102;Mitte;;;Großer Tiergarten;208;216;201;202;189;200;189;184;184;171;176;180;184;194;202;192;185;196
01011103;Mitte;;;Lützowstr.;4976;4896;4722;4736;4768;4718;4723;4712;4626;4816;4768;4818;4880;5130;5489;5518;5173;5038
01011104;Mitte;;;Körnerstr.;3781;3819;3825;3781;3756;3782;3779;3747;3690;3680;3809;3913;4173;4403;4560;4704;4786;4759
01011105;Mitte;;;Nördl. Landwehrkanal;541;568;575;612;661;775;837;875;843;799;901;996;1098;1097;1110;1135;1225;1421
01011201;Mitte;;Regierungsviertel;Wilhelmstr.;2497;2439;2359;2279;2233;2226;2213;2120;2063;2033;2099;2078;2071;2055;2026;2190;2310;2405
01011202;Mitte;;;Unter den Linden Nord;365;380;389;396;431;462;433;456;443;444;479;472;502;498;549;608;607;632
01011203;Mitte;;;Unter den Linden Süd;1058;1047;1051;1002;989;983;982;934;862;802;809;854;890;932;962;1004;1086;1115
01011204;Mitte;;;Leipziger Str.;5457;5529;5611;5589;5614;5617;5593;5693;5661;5504;5667;5822;5959;6424;6765;7463;7869;8279
01011301;Mitte;;Alexanderplatz;Charitéviertel;4085;4122;3978;4089;4332;4403;4473;4565;4573;4619;4722;4902;5141;5597;6173;6431;6781;6919
01011302;Mitte;;;Oranienburger Str.;10729;10967;10957;11234;11491;11664;11728;11793;11835;11808;11879;12078;12118;12137;12281;12535;12677;12572
01011303;Mitte;;;Alexanderplatzviertel;7719;7674;7740;8100;8208;8134;7993;8032;8045;8107;8192;8141;8359;8608;8886;9536;9898;9999
01011304;Mitte;;;Karl-Marx-Allee;8343;8327;8111;7859;7947;8193;8188;8237;8298;8168;8171;8279;8298;8424;8479;8607;8666;8761
01011305;Mitte;;;Heine-Viertel West;6360;6235;6150;6198;6214;6260;6165;6079;5996;6018;6259;6363;6693;7075;7281;7617;7833;8243
01011306;Mitte;;;Heine-Viertel Ost;7000;7172;7170;7245;7361;7433;7356;7348;7361;7376;7579;7857;8130;8616;8861;9530;10328;10607
01011401;Mitte;;Brunnenstr. Süd;Invalidenstr.;11183;11479;11477;11868;12327;13001;12891;12995;13280;13363;13743;14026;14791;15235;15751;16331;17364;17948
01011402;Mitte;;;Arkonaplatz;9716;9967;10019;10332;10641;11030;10855;11018;11265;11254;11606;12025;12343;12666;13014;13341;13507;13645
01022101;Mitte;Moabit;Moabit West;Huttenkiez;2805;2856;2834;2780;2752;2796;2899;2873;2924;2993;3080;3142;3339;3390;3451;3522;3627;3557
01022102;Mitte;;;Beusselkiez;5732;5631;5488;5513;5625;5606;5548;5480;5577;5556;5782;5849;6075;6255;6336;6374;6517;6709
01022103;Mitte;;;Westhafen;194;172;116;142;145;141;172;163;182;173;192;220;232;253;251;258;258;272
01022104;Mitte;;;Emdener Str.;16924;16917;16696;16474;16457;16622;16487;16420;16512;16727;16874;17089;17403;17806;18040;18377;18820;18974
01022105;Mitte;;;Zwinglistr.;4390;4407;4300;4443;4550;4634;4535;4423;4548;4658;4815;4887;4980;5105;5272;5299;5354;5426
01022106;Mitte;;;Elberfelder Str.;10836;10779;10701;10710;10722;10763;10843;10696;10774;10730;10841;10959;11517;11731;11547;11799;11463;11421
01022201;Mitte;;Moabit Ost;Stephankiez;9856;9871;9733;9730;9617;9590;9770;9660;9730;9623;9844;10000;10344;10469;10783;11292;11020;11027
01022202;Mitte;;;Heidestr.;1581;1473;1471;1445;1422;1431;1412;1454;1428;1425;1456;1492;1490;1448;1478;1488;1618;2495
01022203;Mitte;;;Lübecker Str.;6162;6228;6129;6144;6256;6257;6212;6294;6362;6328;6457;6751;6549;6773;6886;6969;7122;7083
01022204;Mitte;;;Thomasiusstr.;5695;5709;5599;5634;5646;5622;5642;5530;5516;5529;5553;5677;5696;5826;5877;5824;6010;6236
01022205;Mitte;;;Zillesiedlung;3163;3199;3177;3030;2921;2916;3009;2993;2997;3057;3027;3063;3125;3207;3236;3311;3329;3349
01022206;Mitte;;;Lüneburger Str.;2951;2979;2865;2805;2795;2890;2962;2940;2875;2914;2990;3016;3085;3060;3030;3027;3012;3044
01022207;Mitte;;;Hansaviertel;5970;6032;5949;5918;5945;5913;6001;5777;5800;5606;5538;5366;5390;5477;5671;5630;5727;5771
